2026-02-19 02:27:10,924 | INFO  | root | Log 檔案位置: C:\Users\jason\Documents\google photo uploader\gp-p1-mig\data\logs\app_20260219.log
2026-02-19 02:27:11,842 | INFO  | werkzeug | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2026-02-19 02:27:11,842 | INFO  | werkzeug | [33mPress CTRL+C to quit[0m
2026-02-19 02:27:12,892 | INFO  | werkzeug | 127.0.0.1 - - [19/Feb/2026 02:27:12] "GET /socket.io/?EIO=4&transport=polling&t=Pno0PTc HTTP/1.1" 200 -
2026-02-19 02:27:12,904 | INFO  | gp_p1_mig.web.app | 瀏覽器已連線
2026-02-19 02:27:12,908 | INFO  | werkzeug | 127.0.0.1 - - [19/Feb/2026 02:27:12] "POST /socket.io/?EIO=4&transport=polling&t=Pno0PU6&sid=Ji0JdrpbPvV34cvfAAAA HTTP/1.1" 200 -
2026-02-19 02:27:12,913 | INFO  | werkzeug | 127.0.0.1 - - [19/Feb/2026 02:27:12] "GET /socket.io/?EIO=4&transport=polling&t=Pno0PUB&sid=Ji0JdrpbPvV34cvfAAAA HTTP/1.1" 200 -
2026-02-19 02:27:12,914 | INFO  | werkzeug | 127.0.0.1 - - [19/Feb/2026 02:27:12] "GET /socket.io/?EIO=4&transport=polling&t=Pno0PUL&sid=Ji0JdrpbPvV34cvfAAAA HTTP/1.1" 200 -
2026-02-19 02:27:13,186 | INFO  | werkzeug | 127.0.0.1 - - [19/Feb/2026 02:27:13] "GET /api/state HTTP/1.1" 200 -
2026-02-19 02:27:13,737 | INFO  | werkzeug | 127.0.0.1 - - [19/Feb/2026 02:27:13] "GET / HTTP/1.1" 200 -
2026-02-19 02:27:13,978 | INFO  | werkzeug | 127.0.0.1 - - [19/Feb/2026 02:27:13] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2026-02-19 02:27:13,998 | INFO  | werkzeug | 127.0.0.1 - - [19/Feb/2026 02:27:13] "[36mGET /static/js/app.js HTTP/1.1[0m" 304 -
2026-02-19 02:27:14,107 | INFO  | werkzeug | 127.0.0.1 - - [19/Feb/2026 02:27:14] "GET /socket.io/?EIO=4&transport=polling&t=Pno0Pmt HTTP/1.1" 200 -
2026-02-19 02:27:14,147 | INFO  | gp_p1_mig.web.app | 瀏覽器已連線
2026-02-19 02:27:14,148 | INFO  | werkzeug | 127.0.0.1 - - [19/Feb/2026 02:27:14] "GET /socket.io/?EIO=4&transport=polling&t=Pno0PnP&sid=UPdpsnIvvvFE96deAAAC HTTP/1.1" 200 -
2026-02-19 02:27:14,149 | INFO  | werkzeug | 127.0.0.1 - - [19/Feb/2026 02:27:14] "POST /socket.io/?EIO=4&transport=polling&t=Pno0PnO&sid=UPdpsnIvvvFE96deAAAC HTTP/1.1" 200 -
2026-02-19 02:27:14,171 | INFO  | werkzeug | 127.0.0.1 - - [19/Feb/2026 02:27:14] "GET /socket.io/?EIO=4&transport=polling&t=Pno0Pnr&sid=UPdpsnIvvvFE96deAAAC HTTP/1.1" 200 -
2026-02-19 02:27:14,392 | INFO  | werkzeug | 127.0.0.1 - - [19/Feb/2026 02:27:14] "GET /api/state HTTP/1.1" 200 -
2026-02-19 02:27:14,656 | INFO  | werkzeug | 127.0.0.1 - - [19/Feb/2026 02:27:14] "GET /api/state HTTP/1.1" 200 -
2026-02-19 02:27:19,565 | INFO  | werkzeug | 127.0.0.1 - - [19/Feb/2026 02:27:19] "GET /api/state HTTP/1.1" 200 -
2026-02-19 02:27:22,761 | INFO  | werkzeug | 127.0.0.1 - - [19/Feb/2026 02:27:22] "GET / HTTP/1.1" 200 -
2026-02-19 02:27:22,769 | INFO  | werkzeug | 127.0.0.1 - - [19/Feb/2026 02:27:22] "GET /socket.io/?EIO=4&transport=websocket&sid=Ji0JdrpbPvV34cvfAAAA HTTP/1.1" 200 -
2026-02-19 02:27:22,796 | INFO  | werkzeug | 127.0.0.1 - - [19/Feb/2026 02:27:22] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2026-02-19 02:27:22,796 | INFO  | werkzeug | 127.0.0.1 - - [19/Feb/2026 02:27:22] "[36mGET /static/js/app.js HTTP/1.1[0m" 304 -
2026-02-19 02:27:22,864 | INFO  | werkzeug | 127.0.0.1 - - [19/Feb/2026 02:27:22] "GET /socket.io/?EIO=4&transport=polling&t=Pno0RvD HTTP/1.1" 200 -
2026-02-19 02:27:22,885 | INFO  | gp_p1_mig.web.app | 瀏覽器已連線
2026-02-19 02:27:22,887 | INFO  | werkzeug | 127.0.0.1 - - [19/Feb/2026 02:27:22] "POST /socket.io/?EIO=4&transport=polling&t=Pno0Rw1&sid=15bdTHzEqbYXYNNiAAAE HTTP/1.1" 200 -
2026-02-19 02:27:22,890 | INFO  | werkzeug | 127.0.0.1 - - [19/Feb/2026 02:27:22] "GET /socket.io/?EIO=4&transport=polling&t=Pno0Rw4&sid=15bdTHzEqbYXYNNiAAAE HTTP/1.1" 200 -
2026-02-19 02:27:22,910 | INFO  | werkzeug | 127.0.0.1 - - [19/Feb/2026 02:27:22] "GET /socket.io/?EIO=4&transport=polling&t=Pno0RwK&sid=15bdTHzEqbYXYNNiAAAE HTTP/1.1" 200 -
2026-02-19 02:27:23,152 | INFO  | werkzeug | 127.0.0.1 - - [19/Feb/2026 02:27:23] "GET /api/state HTTP/1.1" 200 -
2026-02-19 02:27:23,413 | INFO  | werkzeug | 127.0.0.1 - - [19/Feb/2026 02:27:23] "GET /api/state HTTP/1.1" 200 -
2026-02-19 02:27:24,529 | INFO  | werkzeug | 127.0.0.1 - - [19/Feb/2026 02:27:24] "GET /api/state HTTP/1.1" 200 -
2026-02-19 02:27:25,057 | INFO  | werkzeug | 127.0.0.1 - - [19/Feb/2026 02:27:25] "GET /socket.io/?EIO=4&transport=websocket&sid=UPdpsnIvvvFE96deAAAC HTTP/1.1" 200 -
2026-02-19 02:27:33,082 | INFO  | werkzeug | 127.0.0.1 - - [19/Feb/2026 02:27:33] "GET /api/state HTTP/1.1" 200 -
2026-02-19 02:27:43,079 | INFO  | werkzeug | 127.0.0.1 - - [19/Feb/2026 02:27:43] "GET /api/state HTTP/1.1" 200 -
2026-02-19 02:27:53,088 | INFO  | werkzeug | 127.0.0.1 - - [19/Feb/2026 02:27:53] "GET /api/state HTTP/1.1" 200 -
2026-02-19 02:28:03,109 | INFO  | werkzeug | 127.0.0.1 - - [19/Feb/2026 02:28:03] "GET /api/state HTTP/1.1" 200 -
2026-02-19 02:28:13,094 | INFO  | werkzeug | 127.0.0.1 - - [19/Feb/2026 02:28:13] "GET /api/state HTTP/1.1" 200 -
2026-02-19 02:28:23,070 | INFO  | werkzeug | 127.0.0.1 - - [19/Feb/2026 02:28:23] "GET /api/state HTTP/1.1" 200 -
2026-02-19 02:28:33,084 | INFO  | werkzeug | 127.0.0.1 - - [19/Feb/2026 02:28:33] "GET /api/state HTTP/1.1" 200 -
2026-02-19 02:29:30,521 | INFO  | werkzeug | 127.0.0.1 - - [19/Feb/2026 02:29:30] "GET /api/state HTTP/1.1" 200 -
2026-02-19 02:29:33,050 | INFO  | werkzeug | 127.0.0.1 - - [19/Feb/2026 02:29:33] "GET /api/state HTTP/1.1" 200 -
2026-02-19 02:29:33,267 | INFO  | werkzeug | 127.0.0.1 - - [19/Feb/2026 02:29:33] "GET /api/state HTTP/1.1" 200 -
2026-02-19 02:29:43,106 | INFO  | werkzeug | 127.0.0.1 - - [19/Feb/2026 02:29:43] "GET /api/state HTTP/1.1" 200 -
2026-02-19 02:29:53,077 | INFO  | werkzeug | 127.0.0.1 - - [19/Feb/2026 02:29:53] "GET /api/state HTTP/1.1" 200 -
2026-02-19 02:30:03,081 | INFO  | werkzeug | 127.0.0.1 - - [19/Feb/2026 02:30:03] "GET /api/state HTTP/1.1" 200 -
2026-02-19 02:30:13,064 | INFO  | werkzeug | 127.0.0.1 - - [19/Feb/2026 02:30:13] "GET /api/state HTTP/1.1" 200 -
2026-02-19 02:30:23,081 | INFO  | werkzeug | 127.0.0.1 - - [19/Feb/2026 02:30:23] "GET /api/state HTTP/1.1" 200 -
